appeal,supreme,url
536/2020,52/2021,https://www.haestirettur.is/domar/_domur/?id=80613bfa-4d52-487a-8415-9da81f158ea2
26/2020,47/2021,https://www.haestirettur.is/domar/_domur/?id=bbf12005-b4c1-45c6-876c-f7990176c789
186/2020,43/2021,https://www.haestirettur.is/domar/_domur/?id=e0598181-fb6b-4036-b283-05aaf5f1ab2d
113/2022,19/2022,https://www.haestirettur.is/domar/_domur/?id=44be7532-55fb-4946-9f06-00291cbe7d08
486/2020,42/2021,https://www.haestirettur.is/domar/_domur/?id=df1b22f6-1693-4fc8-a27b-6717294db5c1
383/2021,9/2022,https://www.haestirettur.is/domar/_domur/?id=32e8148b-414f-45d8-bbe7-ffc6c121050e
337/2020,46/2021,https://www.haestirettur.is/domar/_domur/?id=96adf4d5-8267-4be0-8a92-5a180067c8f3
507/2021,49/2021,https://www.haestirettur.is/domar/_domur/?id=5b548e34-2504-4ae4-a15f-6bedec0cdb5b
198/2020,38/2021,https://www.haestirettur.is/domar/_domur/?id=089fe0c2-0e06-4c16-80e4-c9a9d13a077a
228/2020,37/2021,https://www.haestirettur.is/domar/_domur/?id=7f0e97a3-be40-436e-9afc-5b6183579915
29/2020,32/2021,https://www.haestirettur.is/domar/_domur/?id=ab20c55d-243d-4eea-b892-de373484994b
711/2021,6/2022,https://www.haestirettur.is/domar/_domur/?id=e0a944bf-9127-4fc8-9a32-070ff74bae78
677/2021,1/2022,https://www.haestirettur.is/domar/_domur/?id=019cd31c-9527-4fe4-9b28-b5d8789bffa6
466/2020,54/2021,https://www.haestirettur.is/domar/_domur/?id=6b18eacb-b487-4009-bbb0-9a292f151165
702/2021,56/2021,https://www.haestirettur.is/domar/_domur/?id=61d2a71a-91a1-4974-b95a-af59a16bb1aa
528/2019,31/2021,https://www.haestirettur.is/domar/_domur/?id=79291f3a-c802-4c4a-afd2-ca26f6581285
409/2021,44/2021,https://www.haestirettur.is/domar/_domur/?id=7f6ea3c6-f809-4d76-b932-5c54814cc228
689/2019,30/2021,https://www.haestirettur.is/domar/_domur/?id=73389d48-6ea0-415c-b1f5-3de006b1c473
121/2020,25/2021,https://www.haestirettur.is/domar/_domur/?id=938425e2-5ba1-4971-811e-00e298d28203
798/2019,26/2021,https://www.haestirettur.is/domar/_domur/?id=0f3ed0d2-317d-4961-a750-520fa441bf6a
556/2021,48/2021,https://www.haestirettur.is/domar/_domur/?id=f427fba3-7eb2-490b-a4a9-d0d69e30d8b2
19/2019,28/2021,https://www.haestirettur.is/domar/_domur/?id=c9f19586-a8c7-484f-bcba-a0fe35c4ec7c
383/2021,45/2021,https://www.haestirettur.is/domar/_domur/?id=c5f57891-504d-4e4d-b2ad-b21d8995d7ef
268/2019,27/2021,https://www.haestirettur.is/domar/_domur/?id=8b5e441f-c26b-41a4-87eb-19bc1cbf74dd
739/2019,22/2021,https://www.haestirettur.is/domar/_domur/?id=52baa585-7feb-48e7-90e8-2bdc417154d3
724/2019,21/2021,https://www.haestirettur.is/domar/_domur/?id=f25603f2-5c6c-4b58-aed7-69d320ea4c72
371/2019,18/2021,https://www.haestirettur.is/domar/_domur/?id=b497f22f-d579-4b0b-9778-f1a5641845cc
478/2021,40/2021,https://www.haestirettur.is/domar/_domur/?id=cadb3732-8153-4be4-b9b5-3110a422b3ec
322/2019,41/2020,https://www.haestirettur.is/domar/_domur/?id=a34c203a-f779-492b-b40e-651911a32da9
817/2019,17/2021,https://www.haestirettur.is/domar/_domur/?id=e41f2c20-a90e-4dc5-bfb6-8c2d9a142959
752/2019,15/2021,https://www.haestirettur.is/domar/_domur/?id=437f0d39-6abc-429a-ac9e-319503750425
209/2021,36/2021,https://www.haestirettur.is/domar/_domur/?id=7c9f7ad7-0054-41ca-9066-88db5cf56ea2
726/2019,9/2021,https://www.haestirettur.is/domar/_domur/?id=51f464ff-4074-4f41-b0d5-8dd212403ac6
105/2020,29/2021,https://www.haestirettur.is/domar/_domur/?id=c0ddb7a4-594c-432d-9bda-e04e9385d0c8
