supreme_case_number,supreme_case_link,appeals_case_number,appeals_case_link,source_type,verdict_date,decision_status
2020-277,https://island.is/s/haestirettur/akvardanir/f6f9c2b2-3ece-45d8-b570-91d0759fd376,404/2019,https://island.is/domar/g-3d5b8ef2-bbea-40f7-b5c8-4678b9eb4ccb,ákvörðun,14. janúar 2021,Hafnað
2020-283,https://island.is/s/haestirettur/akvardanir/261c9799-63d2-463a-91d3-7ca95c625ac1,838/2019,https://island.is/domar/g-1d161f78-2887-482c-b941-dd802c54dd45,ákvörðun,26. janúar 2021,Hafnað
2020-289,https://island.is/s/haestirettur/akvardanir/fa53d9e1-a4fd-4957-93be-bb7bab68bd2b,755/2019,https://island.is/domar/g-a201ecf0-5f28-4ec9-8db7-8f734d7b190d,ákvörðun,4. febrúar 2021,Hafnað
2020-282,https://island.is/s/haestirettur/akvardanir/faec9919-964b-4f13-aa01-637f9004fc7a,741/2019,https://island.is/domar/g-0be12832-5e24-488f-9604-9b0cf53a38e2,ákvörðun,18. janúar 2021,Hafnað
2020-275,https://island.is/s/haestirettur/akvardanir/d4c7698c-80d2-47f6-88c2-a530bb2630f9,421/2020,https://island.is/domar/g-c982287d-8288-4f14-8ded-0883e5b9b028,ákvörðun,26. janúar 2021,Hafnað
2021-32,https://island.is/s/haestirettur/akvardanir/55d4a68f-5fc0-4069-bd85-23fad0288654,330/2019,https://island.is/domar/g-6d1914cb-3c6e-4d2f-ba94-f3120073e590,ákvörðun,2. febrúar 2021,Hafnað
2020-287,https://island.is/s/haestirettur/akvardanir/63f62e82-8c53-4f6b-a357-3e507bc4c13b,825/2019,https://island.is/domar/g-83370a28-1487-4af3-8035-858ae0fa942f,ákvörðun,26. janúar 2021,Samþykkt
5/2021,https://island.is/domar/s-a14fd6b4-433d-4458-925f-d4c1fc1d4700,825/2019,https://island.is/domar/g-83370a28-1487-4af3-8035-858ae0fa942f,dóm,3. júní 2021,
2020-296,https://island.is/s/haestirettur/akvardanir/dbe77ae5-9d09-44a4-9d6a-e54bf382d357,757/2019,https://island.is/domar/g-dfcccadf-8ef4-4afd-a582-227c1e1229da,ákvörðun,20. janúar 2021,Hafnað
2020-280,https://island.is/s/haestirettur/akvardanir/71a6d17f-ddca-418b-afd5-3b53ab5946aa,602/2020,https://island.is/domar/g-66a7af8e-14f9-4a5b-87a3-88f30e4966e0,ákvörðun,20. janúar 2021,Hafnað
2021-29,https://island.is/s/haestirettur/akvardanir/f1acf93b-ee32-45da-8562-fc5eb8fe1746,533/2019,https://island.is/domar/g-d54a6820-1be8-46c8-8908-124a3478611a,ákvörðun,16. febrúar 2021,Hafnað
2020-303,https://island.is/s/haestirettur/akvardanir/8e159222-0dd5-486e-850d-b8cd96360174,823/2019,https://island.is/domar/g-0606b613-5ed6-4383-8a09-26f47dc81878,ákvörðun,26. janúar 2021,Hafnað
2020-301,https://island.is/s/haestirettur/akvardanir/e24fecb8-7bd4-40f2-8744-10999384e41b,435/2019,https://island.is/domar/g-44966476-bcea-408f-8ede-6967f65212cf,ákvörðun,26. janúar 2021,Hafnað
2020-290,https://island.is/s/haestirettur/akvardanir/496e3b4e-2601-444b-9ea1-02b3bec521b6,600/2020,https://island.is/domar/g-79db2b8d-4199-43c0-bbcb-5d3fbe9910f8,ákvörðun,26. janúar 2021,Hafnað
2021-123,https://island.is/s/haestirettur/akvardanir/b2d3b533-64be-4537-94bf-49bff05335fc,385/2019,https://island.is/domar/g-8c79c183-c91b-445f-a143-6f6f24153141,ákvörðun,8. júní 2021,Hafnað
2020-295,https://island.is/s/haestirettur/akvardanir/52cc1b5a-4110-474b-aa17-782a7d1e6eb7,239/2019,https://island.is/domar/g-ffb506de-d2e3-448e-8c58-8348d6496e4c,ákvörðun,17. febrúar 2021,Hafnað
2020-302,https://island.is/s/haestirettur/akvardanir/3768a6ab-fe9a-443f-b840-3d06dabfc0df,593/2020,https://island.is/domar/g-afd0a0f8-2946-49d2-a26d-6b39ab673375,ákvörðun,19. janúar 2021,Hafnað
2021-40,https://island.is/s/haestirettur/akvardanir/b6814e23-44eb-442c-9f98-63ac7d966811,581/2020,https://island.is/domar/g-7a7d0d7d-5472-449a-84be-9e1032e3db4d,ákvörðun,2. febrúar 2021,Hafnað
2021-14,https://island.is/s/haestirettur/akvardanir/d6857543-4834-43e1-a36c-a4ca5eb45b88,829/2019,https://island.is/domar/g-03955a5b-b006-4aec-b61a-64b52127c8f2,ákvörðun,2. febrúar 2021,Hafnað
2021-13,https://island.is/s/haestirettur/akvardanir/2a38672a-ea21-41d6-a327-0df5f41b2fbd,7/2020,https://island.is/domar/g-eab2c864-9bb3-4d86-bbab-618cba76f138,ákvörðun,2. febrúar 2021,Samþykkt
12/2021,https://island.is/domar/s-3c367a93-cd22-4373-acf9-5caa4d9cb2c3,7/2020,https://island.is/domar/g-eab2c864-9bb3-4d86-bbab-618cba76f138,dóm,16. júní 2021,
2021-15,https://island.is/s/haestirettur/akvardanir/94bec277-a748-440b-882e-e4efcd10bf55,356/2020,https://island.is/domar/g-147b5dda-6704-410f-a0e1-25cdf29c4084,ákvörðun,9. febrúar 2021,Samþykkt
8/2021,https://island.is/domar/s-96e2fc20-aff8-478a-bec0-002bb03dcda5,356/2020,https://island.is/domar/g-147b5dda-6704-410f-a0e1-25cdf29c4084,dóm,16. júní 2021,
2021-70,https://island.is/s/haestirettur/akvardanir/b5df008f-3bf6-4add-a20d-7206dee3b17e,304/2019,https://island.is/domar/g-2dbb1762-3347-45f1-b673-1714ce0e7317,ákvörðun,24. mars 2021,Hafnað
2021-30,https://island.is/s/haestirettur/akvardanir/62a8b10f-3d7e-4309-b9cd-1857e7d021f3,620/2020,https://island.is/domar/g-0dbd3aa3-8531-4ee9-ad2d-db4d06d80900,ákvörðun,9. febrúar 2021,Hafnað
2020-304,https://island.is/s/haestirettur/akvardanir/926068e8-c0f1-4c2b-8a21-5419abc900ff,598/2020,https://island.is/domar/g-717cce49-4f92-4dfd-a175-e1eeda634ad4,ákvörðun,2. febrúar 2021,Hafnað
2021-25,https://island.is/s/haestirettur/akvardanir/75d1e2f7-ea3d-4fa3-9b9d-834e30435bb7,835/2019,https://island.is/domar/g-4fe351ad-94ce-4184-be96-b447dadd498c,ákvörðun,19. febrúar 2021,Hafnað
2021-19,https://island.is/s/haestirettur/akvardanir/46aae168-4a0b-457c-a947-045174ad8c08,752/2019,https://island.is/domar/g-c61a07cb-3085-4085-ac34-0605e038d1dc,ákvörðun,11. mars 2021,Samþykkt
15/2021,https://island.is/domar/s-437f0d39-6abc-429a-ac9e-319503750425,752/2019,https://island.is/domar/g-c61a07cb-3085-4085-ac34-0605e038d1dc,dóm,23. september 2021,
2021-17,https://island.is/s/haestirettur/akvardanir/81ef1b27-a26d-48fc-9b6e-1dbec38ee5a5,726/2019,https://island.is/domar/g-1635a445-3215-407b-865b-f20b818e74f9,ákvörðun,9. febrúar 2021,Samþykkt
9/2021,https://island.is/domar/s-51f464ff-4074-4f41-b0d5-8dd212403ac6,726/2019,https://island.is/domar/g-1635a445-3215-407b-865b-f20b818e74f9,dóm,1. júlí 2021,
2021-2,https://island.is/s/haestirettur/akvardanir/d9ab369e-1047-4c0d-9bea-f7552d39226d,624/2020,https://island.is/domar/g-d7487a34-665c-42c7-9336-41f565b760d3,ákvörðun,2. febrúar 2021,Hafnað
2021-3,https://island.is/s/haestirettur/akvardanir/528aab11-a713-476c-8534-4a9159675cf0,555/2020,https://island.is/domar/g-9c118d33-00e4-4466-a441-d38607bdc1a4,ákvörðun,12. febrúar 2021,Samþykkt
7/2021,https://island.is/domar/s-e0fe95e7-b259-4bcf-b475-9b61452385be,555/2020,https://island.is/domar/g-9c118d33-00e4-4466-a441-d38607bdc1a4,dóm,15. apríl 2021,
2021-23,https://island.is/s/haestirettur/akvardanir/e6192be1-302c-4ff1-aa75-36f118c98539,733/2019,https://island.is/domar/g-f31ce741-185f-4a25-b59c-39af1b568fa7,ákvörðun,9. febrúar 2021,Hafnað
2021-22,https://island.is/s/haestirettur/akvardanir/5426fe87-3e9a-4548-b2a7-d3f5091878af,732/2019,https://island.is/domar/g-dfa0e401-6b71-4e3c-8c07-8c74148819be,ákvörðun,9. febrúar 2021,Hafnað
2021-21,https://island.is/s/haestirettur/akvardanir/a4847e4b-a33b-4d02-895b-27ed8f131e9b,731/2019,https://island.is/domar/g-a2324804-d3dc-4c44-b81f-9766cb6881fe,ákvörðun,9. febrúar 2021,Hafnað
2021-10,https://island.is/s/haestirettur/akvardanir/f9802b7e-c22c-435b-80aa-24db6743bf27,583/2020,https://island.is/domar/g-30ea3eda-aaf2-42c1-895b-af71726dab11,ákvörðun,2. febrúar 2021,Hafnað
1/2021,https://island.is/domar/s-10c2b06a-d631-4474-b9e3-52829698be11,3/2021,https://island.is/domar/g-59f78fb6-f815-4c76-978c-55212f7870d8,dóm,15. janúar 2021,
2021-49,https://island.is/s/haestirettur/akvardanir/f0ecc123-5dee-44aa-b7a6-9931b16f0ae0,813/2019,https://island.is/domar/g-48222087-1bdb-4da3-9414-45c8bee87a7c,ákvörðun,2. mars 2021,Hafnað
2021-61,https://island.is/s/haestirettur/akvardanir/4cfd4f8a-fabf-46ab-9d59-c57e72c452c3,609/2019,https://island.is/domar/g-cf9048f9-4b01-465a-8804-ade10da6b185,ákvörðun,16. mars 2021,Hafnað
2021-80,https://island.is/s/haestirettur/akvardanir/d53da8bc-4ca2-4913-a612-ead7164f3653,594/2019,https://island.is/domar/g-5efa37c8-6404-4f2d-b47e-bbd5cf36c166,ákvörðun,4. maí 2021,Hafnað
6/2021,https://island.is/domar/s-682dc78b-001b-42b8-b715-a9e3ae268fcd,42/2021,https://island.is/domar/g-8ff06f2d-cf8c-4a66-b0ee-e764a23a528b,dóm,9. febrúar 2021,
2021-74,https://island.is/s/haestirettur/akvardanir/84067a65-c1f2-4af5-9068-5cd7a57b5e5f,645/2019,https://island.is/domar/g-cbb96b7b-3960-4475-ae7e-9ed812a80282,ákvörðun,27. apríl 2021,Hafnað
2021-76,https://island.is/s/haestirettur/akvardanir/f41b6e53-e835-4fb2-a05f-c9b16fc32477,607/2019,https://island.is/domar/g-b99f87b2-5c9c-4e05-b9de-7fc002cf9e52,ákvörðun,23. mars 2021,Hafnað
2021-92,https://island.is/s/haestirettur/akvardanir/866dcf2e-918b-412b-8e6a-0720ebc33d4c,19/2019,https://island.is/domar/g-a195979f-b471-4037-ae38-4b5715cdc623,ákvörðun,4. júní 2021,Samþykkt
28/2021,https://island.is/domar/s-c9f19586-a8c7-484f-bcba-a0fe35c4ec7c,19/2019,https://island.is/domar/g-a195979f-b471-4037-ae38-4b5715cdc623,dóm,25. nóvember 2021,
2020-78,https://island.is/s/haestirettur/akvardanir/7f1edb68-1b73-463e-9396-254b909fcfcc,862/2018,https://island.is/domar/g-cdd9a96c-0a42-4495-b644-353a8a2c0fba,ákvörðun,31. mars 2020,Samþykkt
15/2020,https://island.is/domar/s-b0e1a302-450b-4951-9a9b-707dda09623c,862/2018,https://island.is/domar/g-cdd9a96c-0a42-4495-b644-353a8a2c0fba,dóm,1. október 2020,
2021-53,https://island.is/s/haestirettur/akvardanir/bebbe7df-4b0c-4de6-95db-ce081fe589c4,824/2019,https://island.is/domar/g-5eff15e9-a96f-4edf-93a6-71d3f3553d5b,ákvörðun,9. mars 2021,Hafnað
2021-63,https://island.is/s/haestirettur/akvardanir/d8908d6f-089d-4f63-9009-52d0738c9a07,817/2019,https://island.is/domar/g-3e4fd4af-ab20-4b59-964a-d0dc2b517216,ákvörðun,20. apríl 2021,Samþykkt
17/2021,https://island.is/domar/s-e41f2c20-a90e-4dc5-bfb6-8c2d9a142959,817/2019,https://island.is/domar/g-3e4fd4af-ab20-4b59-964a-d0dc2b517216,dóm,6. október 2021,
2021-69,https://island.is/s/haestirettur/akvardanir/43238fc6-9d20-4534-b031-e87efbe8f47f,79/2020,https://island.is/domar/g-3aee3195-ace6-4e11-9417-913f12459bfb,ákvörðun,13. apríl 2021,Hafnað
2021-57,https://island.is/s/haestirettur/akvardanir/ff6b769f-6a09-4125-bda0-e34743999809,772/2019,https://island.is/domar/g-f5a063b3-6a0c-4234-93f5-aa9efb65ff09,ákvörðun,20. apríl 2021,Hafnað
2021-68,https://island.is/s/haestirettur/akvardanir/725360fb-a45c-408f-882f-99588039617b,710/2019,https://island.is/domar/g-69771ef5-dc65-47a5-8c6b-088e7a779f37,ákvörðun,21. apríl 2021,Hafnað
14/2021,https://island.is/domar/s-9c149bd6-556a-4d63-bc14-3fc6e6d93ccc,6/2020,https://island.is/domar/g-25d45f3c-8155-4c58-a871-f1cd4db8d2ed,dóm,22. mars 2021,
2021-77,https://island.is/s/haestirettur/akvardanir/97712dbb-2add-4a20-888e-2b589a749e6c,478/2019,https://island.is/domar/g-47d7b0d4-0356-4ee8-b6a4-b2db843b36fc,ákvörðun,27. apríl 2021,Hafnað
2021-58,https://island.is/s/haestirettur/akvardanir/722b3216-ae9a-46c1-95df-87b212cd4d27,118/2020,https://island.is/domar/g-09a962a8-8f21-43c5-8501-1cb773bd4822,ákvörðun,16. mars 2021,Hafnað
2021-107,https://island.is/s/haestirettur/akvardanir/b973a607-3676-4d57-89a7-8fdd08b03d0d,596/2019,https://island.is/domar/g-038a296a-544d-469b-9798-bba5f1df4a1f,ákvörðun,18. maí 2021,Hafnað
2021-83,https://island.is/s/haestirettur/akvardanir/ba210390-1123-4f51-a842-9a11c87d29ac,547/2020,https://island.is/domar/g-6641ffc4-1160-43ed-acf7-6085f757a7c4,ákvörðun,4. maí 2021,Hafnað
2021-84,https://island.is/s/haestirettur/akvardanir/7d99ae2d-6896-4f1a-b6db-c2a4a8596ed1,371/2019,https://island.is/domar/g-2147d9f5-1b3c-40f8-b26b-fbe007d5cee2,ákvörðun,27. apríl 2021,Samþykkt
18/2021,https://island.is/domar/s-b497f22f-d579-4b0b-9778-f1a5641845cc,371/2019,https://island.is/domar/g-2147d9f5-1b3c-40f8-b26b-fbe007d5cee2,dóm,3. nóvember 2021,
2020-89,https://island.is/s/haestirettur/akvardanir/e4599852-c496-4767-a9a7-130bee989ba1,907/2018,https://island.is/domar/g-375926bd-e218-493d-9ac3-197426d71be3,ákvörðun,16. apríl 2020,Samþykkt
16/2020,https://island.is/domar/s-9e7a189b-834a-4731-9621-9c51d81cdf5f,907/2018,https://island.is/domar/g-375926bd-e218-493d-9ac3-197426d71be3,dóm,15. október 2020,
2021-118,https://island.is/s/haestirettur/akvardanir/b7ad8aff-2dd2-49c7-a502-c814e08c1a90,907/2018,https://island.is/domar/g-375926bd-e218-493d-9ac3-197426d71be3,ákvörðun,23. júní 2021,Hafnað
2021-124,https://island.is/s/haestirettur/akvardanir/009fbb0c-4add-44f6-9165-e9228cbe433b,528/2019,https://island.is/domar/g-d2d5ef2a-d791-4da9-a7f0-452abc790712,ákvörðun,23. júní 2021,Samþykkt
31/2021,https://island.is/domar/s-79291f3a-c802-4c4a-afd2-ca26f6581285,528/2019,https://island.is/domar/g-d2d5ef2a-d791-4da9-a7f0-452abc790712,dóm,16. desember 2021,
2021-138,https://island.is/s/haestirettur/akvardanir/1ff6154c-4514-4ee9-be2b-cfc2e70db714,493/2020,https://island.is/domar/g-0c784113-3630-45c1-b396-8dbd90be80bc,ákvörðun,13. júlí 2021,Hafnað
2021-85,https://island.is/s/haestirettur/akvardanir/611d1b68-4455-4fbd-abff-149f1b0ee537,36/2020,https://island.is/domar/g-ba124b27-8313-400f-94b0-5fefb451ac90,ákvörðun,3. júní 2021,Hafnað
2019-365,https://island.is/s/haestirettur/akvardanir/1e26e559-de0e-415c-a577-59b54d644182,217/2019,https://island.is/domar/g-36b6faa8-7693-42fb-b25f-d2b63825c334,ákvörðun,14. janúar 2020,Samþykkt
4/2020,https://island.is/domar/s-447c90d6-7aee-4254-ad7d-d006481d41dc,217/2019,https://island.is/domar/g-36b6faa8-7693-42fb-b25f-d2b63825c334,dóm,23. júní 2020,
2021-87,https://island.is/s/haestirettur/akvardanir/2ede1dd4-1ed6-4e14-8143-d7941d760a6b,217/2019,https://island.is/domar/g-36b6faa8-7693-42fb-b25f-d2b63825c334,ákvörðun,20. apríl 2021,Hafnað
2021-89,https://island.is/s/haestirettur/akvardanir/abb06ac8-cb67-4a30-ba8c-ff2cb44b832d,102/2020,https://island.is/domar/g-8deb6621-01b3-46e9-a202-3d3cd4e39dc9,ákvörðun,25. maí 2021,Hafnað
2021-82,https://island.is/s/haestirettur/akvardanir/789bef37-caa4-4b34-992c-e6053ea49801,727/2020,https://island.is/domar/g-0e2d7fdc-04fa-43f4-a9f4-88cec1ecc1b1,ákvörðun,21. apríl 2021,Hafnað
2021-35,https://island.is/s/haestirettur/akvardanir/38ac0fbd-51e5-4629-af2d-e3584a68bf51,667/2020,https://island.is/domar/g-05ba6af6-8807-44d9-bdaa-5f0707972b92,ákvörðun,22. febrúar 2021,Samþykkt
13/2021,https://island.is/domar/s-9b70d65c-527f-45d2-9429-50c59b0c1288,667/2020,https://island.is/domar/g-05ba6af6-8807-44d9-bdaa-5f0707972b92,dóm,25. febrúar 2021,
2021-78,https://island.is/s/haestirettur/akvardanir/c3d339fa-2d25-46b5-b567-d54247ea7091,667/2020,https://island.is/domar/g-05ba6af6-8807-44d9-bdaa-5f0707972b92,ákvörðun,13. apríl 2021,Hafnað
2021-91,https://island.is/s/haestirettur/akvardanir/b6b677f4-07d3-43ae-a2b2-820bf0260f7c,798/2019,https://island.is/domar/g-d3de22b2-1e50-4a9a-9ab3-52dcb68a5993,ákvörðun,3. júní 2021,Samþykkt
26/2021,https://island.is/domar/s-0f3ed0d2-317d-4961-a750-520fa441bf6a,798/2019,https://island.is/domar/g-d3de22b2-1e50-4a9a-9ab3-52dcb68a5993,dóm,2. desember 2021,
2021-93,https://island.is/s/haestirettur/akvardanir/d1a3326a-a11a-4974-a83a-0d84be686b09,268/2019,https://island.is/domar/g-a82421eb-5d99-4d8a-9b6f-b18b5717f504,ákvörðun,3. júní 2021,Samþykkt
27/2021,https://island.is/domar/s-8b5e441f-c26b-41a4-87eb-19bc1cbf74dd,268/2019,https://island.is/domar/g-a82421eb-5d99-4d8a-9b6f-b18b5717f504,dóm,18. nóvember 2021,
2021-99,https://island.is/s/haestirettur/akvardanir/92c7fe69-5b26-482f-88e3-fbda74c6e2ba,74/2020,https://island.is/domar/g-307d4d27-91b4-43b1-99b0-5581d3baef59,ákvörðun,15. júní 2021,Hafnað
2021-98,https://island.is/s/haestirettur/akvardanir/b5dc39eb-1d4a-45bd-a0db-5f9d03083508,73/2020,https://island.is/domar/g-cde3c90d-9281-4e03-91c0-d77fdee960a2,ákvörðun,15. júní 2021,Hafnað
2021-100,https://island.is/s/haestirettur/akvardanir/a6f6e49c-142d-4cf5-a94c-02b5ec6541da,72/2020,https://island.is/domar/g-182d5ee7-377a-4f9d-8333-3b3e7075653e,ákvörðun,8. júní 2021,Hafnað
2021-96,https://island.is/s/haestirettur/akvardanir/ded5bf7e-af77-46dd-8007-f40ed091391b,65/2020,https://island.is/domar/g-cd217886-01a6-4805-bb05-37cfef62f293,ákvörðun,3. júní 2021,Hafnað
2021-128,https://island.is/s/haestirettur/akvardanir/bbe0deee-eea8-4abf-8011-636ab0dcb581,420/2019,https://island.is/domar/g-3b258c02-3e65-4e87-a78b-4983efeffe3c,ákvörðun,23. júní 2021,Hafnað
2021-145,https://island.is/s/haestirettur/akvardanir/8979b61b-68b1-4af9-9573-e78dca09b9ff,253/2020,https://island.is/domar/g-82913f67-3824-4364-9ea1-c837194c2acb,ákvörðun,13. júlí 2021,Hafnað
2021-101,https://island.is/s/haestirettur/akvardanir/95ffdd1f-7201-4c16-8059-3086938fbb5b,739/2019,https://island.is/domar/g-a7117202-f3d3-4d36-9d75-b9ae2d2749e1,ákvörðun,14. maí 2021,Samþykkt
22/2021,https://island.is/domar/s-52baa585-7feb-48e7-90e8-2bdc417154d3,739/2019,https://island.is/domar/g-a7117202-f3d3-4d36-9d75-b9ae2d2749e1,dóm,18. nóvember 2021,
32/2020,https://island.is/domar/s-646db761-4d80-4137-bb22-fa92f8bf8b46,680/2019,https://island.is/domar/g-d18cb049-0ddd-4111-928b-fa858fb70408,dóm,9. desember 2020,
2021-112,https://island.is/s/haestirettur/akvardanir/a6232dbd-01e4-4e3a-b9ae-89f27c5f1479,680/2019,https://island.is/domar/g-d18cb049-0ddd-4111-928b-fa858fb70408,ákvörðun,4. júní 2021,Hafnað
31/2020,https://island.is/domar/s-cb3cf462-accf-4d0f-9c04-ad7709c23852,678/2019,https://island.is/domar/g-acc4b07b-eb99-46c0-af0d-d030385a03f9,dóm,9. desember 2020,
2021-134,https://island.is/s/haestirettur/akvardanir/0a4b4449-4aac-40e8-a291-a7611f45587a,604/2019,https://island.is/domar/g-26d16970-1b71-4f43-82fe-4a5e8e46a47a,ákvörðun,21. júlí 2021,Hafnað
2021-126,https://island.is/s/haestirettur/akvardanir/444098aa-f5ac-4890-9a73-93453ce60048,42/2020,https://island.is/domar/g-24d1ba6c-0750-4964-8ccb-ce4aa19c4a4c,ákvörðun,15. júní 2021,Hafnað
2021-94,https://island.is/s/haestirettur/akvardanir/444672f2-79ec-4877-bc6a-e8c22d899437,156/2021,https://island.is/domar/g-4d055e69-b37b-4d24-b1e7-62e572c61776,ákvörðun,20. apríl 2021,Hafnað
2021-103,https://island.is/s/haestirettur/akvardanir/48ba855d-787c-4b28-a90e-0043de35ab6c,724/2019,https://island.is/domar/g-3a821614-ec5f-44d3-9e23-d0d92a1a0979,ákvörðun,14. maí 2021,Samþykkt
21/2021,https://island.is/domar/s-f25603f2-5c6c-4b58-aed7-69d320ea4c72,724/2019,https://island.is/domar/g-3a821614-ec5f-44d3-9e23-d0d92a1a0979,dóm,11. nóvember 2021,
2021-117,https://island.is/s/haestirettur/akvardanir/f296bb1e-e775-4cfa-b33d-900edcd62e40,689/2019,https://island.is/domar/g-9f8e7e2c-ebdf-4f96-b9fd-461b43423921,ákvörðun,8. júní 2021,Samþykkt
30/2021,https://island.is/domar/s-73389d48-6ea0-415c-b1f5-3de006b1c473,689/2019,https://island.is/domar/g-9f8e7e2c-ebdf-4f96-b9fd-461b43423921,dóm,9. desember 2021,
10/2021,https://island.is/domar/s-7fda3e6c-46a5-4659-836b-087d8af17001,58/2021,https://island.is/domar/g-d536a36f-bf94-408d-a2f9-1304e92903c0,dóm,5. mars 2021,
11/2021,https://island.is/domar/s-1a4052cf-f083-4a11-b072-2547578b136f,57/2021,https://island.is/domar/g-d400f10d-322a-4500-bb0a-c44e988f1c45,dóm,5. mars 2021,
2021-153,https://island.is/s/haestirettur/akvardanir/26432a54-2917-42cc-96a3-733c3d15e3fc,464/2020,https://island.is/domar/g-afb430c6-08c3-4533-98a8-074954d4d10d,ákvörðun,13. júlí 2021,Hafnað
2021-169,https://island.is/s/haestirettur/akvardanir/bf366b63-1d46-4b2c-9156-709e38b361f8,215/2019,https://island.is/domar/g-9a8f1102-8285-4ba5-ae96-41060c5ce7e1,ákvörðun,4. ágúst 2021,Hafnað
16/2021,https://island.is/domar/s-023dd383-51d2-4ea9-b0e9-b8c8f2a3625a,125/2020,https://island.is/domar/g-a9766986-5e11-4148-ab18-c82bf5020f3d,dóm,21. apríl 2021,
2021-114,https://island.is/s/haestirettur/akvardanir/e9d96295-c0d3-4999-9bd7-faaf0f5416be,121/2020,https://island.is/domar/g-fd2f7cb7-0aa1-48c1-adc7-e7e460f8eb0a,ákvörðun,3. júní 2021,Samþykkt
25/2021,https://island.is/domar/s-938425e2-5ba1-4971-811e-00e298d28203,121/2020,https://island.is/domar/g-fd2f7cb7-0aa1-48c1-adc7-e7e460f8eb0a,dóm,9. desember 2021,
2021-97,https://island.is/s/haestirettur/akvardanir/61b57a99-6d97-419d-b5cf-fb349348391e,120/2021,https://island.is/domar/g-7a8d924b-564e-4e20-aafc-7889b9669ced,ákvörðun,15. júní 2021,Hafnað
2021-116,https://island.is/s/haestirettur/akvardanir/84c34d9b-9de1-4463-b63f-0bf9f262d75f,107/2020,https://island.is/domar/g-da702aea-3b3a-4dee-b224-56fff7ca3ba1,ákvörðun,23. júní 2021,Hafnað
37/2020,https://island.is/domar/s-e99b632b-56fa-4da8-ae12-735a14e5359c,444/2019,https://island.is/domar/g-4578a38c-cc1a-4765-a4d2-5a3bf2546bf5,dóm,12. janúar 2021,
2021-136,https://island.is/s/haestirettur/akvardanir/1cc00cd0-1c54-49b9-a4e6-f86cdef920ec,219/2021,https://island.is/domar/g-1f2c02d1-0439-4adf-8e82-946aa1359ecd,ákvörðun,21. maí 2021,Hafnað
2021-144,https://island.is/s/haestirettur/akvardanir/64a1504e-f09c-4473-affe-6504b07ddac6,146/2020,https://island.is/domar/g-c38fe82f-635e-40ea-9e99-a22caeacf0bb,ákvörðun,13. júlí 2021,Hafnað
2021-199,https://island.is/s/haestirettur/akvardanir/7ed2a574-6d71-4829-9fcf-0ee1c0e09d21,21/2020,https://island.is/domar/g-964a25c9-78e1-46d3-81a3-89d08a1ea9e2,ákvörðun,22. september 2021,Hafnað
2021-141,https://island.is/s/haestirettur/akvardanir/9a28542e-0b36-48cf-b8b0-1451e6649a4f,177/2021,https://island.is/domar/g-d0833872-e051-4f89-8590-979d96c74bd0,ákvörðun,13. júlí 2021,Hafnað
2021-152,https://island.is/s/haestirettur/akvardanir/1862633d-3727-4297-ae78-31f4e18037d2,152/2020,https://island.is/domar/g-e38e5abc-74b1-4e6b-b9fd-63af0b996bbc,ákvörðun,23. júní 2021,Hafnað
2021-177,https://island.is/s/haestirettur/akvardanir/eb514618-9976-48b5-9bcc-9c36e3d07b74,603/2019,https://island.is/domar/g-8ef8408b-3b2c-4fa7-9271-b887343484be,ákvörðun,20. ágúst 2021,Hafnað
2021-160,https://island.is/s/haestirettur/akvardanir/65340a9c-5906-49ef-a90e-09484bb3acd6,29/2020,https://island.is/domar/g-82726e95-e220-4254-bed2-338bfaae1c7d,ákvörðun,27. júlí 2021,Samþykkt
32/2021,https://island.is/domar/s-ab20c55d-243d-4eea-b892-de373484994b,29/2020,https://island.is/domar/g-82726e95-e220-4254-bed2-338bfaae1c7d,dóm,9. febrúar 2022,
2021-173,https://island.is/s/haestirettur/akvardanir/fbce3a42-f384-4d14-bcee-0e360fa30c62,179/2020,https://island.is/domar/g-176c76f1-f92f-4767-9040-1379ec5b6bc2,ákvörðun,28. júlí 2021,Hafnað
2021-159,https://island.is/s/haestirettur/akvardanir/3a7515f0-82d7-4d2b-ae32-87620d803f1a,168/2020,https://island.is/domar/g-0916a278-bcdb-4086-8da0-6ee939d08aa8,ákvörðun,27. júlí 2021,Hafnað
2021-156,https://island.is/s/haestirettur/akvardanir/d0f8ee44-bef8-4e50-85c8-2ba31a6ee283,132/2020,https://island.is/domar/g-d7ae86ab-6375-4598-bf78-449dd74ecdc1,ákvörðun,27. júlí 2021,Hafnað
2021-154,https://island.is/s/haestirettur/akvardanir/fcec1784-79bc-44a8-8597-881ff26ebb73,209/2021,https://island.is/domar/g-15319160-80d9-457d-97f4-92fd373ce177,ákvörðun,13. júlí 2021,Samþykkt
36/2021,https://island.is/domar/s-7c9f7ad7-0054-41ca-9066-88db5cf56ea2,209/2021,https://island.is/domar/g-15319160-80d9-457d-97f4-92fd373ce177,dóm,15. september 2021,
2021-170,https://island.is/s/haestirettur/akvardanir/84fc269d-85d5-42ab-bad6-b8d42d1cb96f,58/2019,https://island.is/domar/g-6e30ad8a-4f3e-492f-a68e-c733f1f0992d,ákvörðun,15. september 2021,Hafnað
2021-212,https://island.is/s/haestirettur/akvardanir/0e2d43aa-db13-4c57-953c-baacac444c66,574/2020,https://island.is/domar/g-e3167766-f2d6-465d-89a3-638376f26658,ákvörðun,1. október 2021,Hafnað
