supreme_case_number,supreme_case_link,appeals_case_number,appeals_case_link,source_type,verdict_date,decision_status
2025-146,https://island.is/s/haestirettur/akvardanir/b90a812b-f687-4b3e-bf35-cfaa1cbe8ee8,530/2024,https://island.is/domar/g-38f24fb7-5a8e-4c2e-9d3b-74296bc9a3fb,ákvörðun,7. nóvember 2025,Hafnað
9/2025,https://island.is/domar/s-5d6c207c-756a-4396-8876-dafd98bbb5eb,594/2023,https://island.is/domar/g-4584f35c-33e8-443e-92e1-67525da8148d,dóm,18. nóvember 2025,
2025-143,https://island.is/s/haestirettur/akvardanir/4b6182bf-ac46-4027-9b16-fd40abc1aa58,631/2025,https://island.is/domar/g-fcac6726-034a-4769-8f2c-26d82dcc3f32,ákvörðun,6. nóvember 2025,Samþykkt
2025-145,https://island.is/s/haestirettur/akvardanir/83e7d487-f116-4c6d-bdba-7047499a1c12,611/2024,https://island.is/domar/g-273719ce-1bc0-4277-b698-3f21efeb97b9,ákvörðun,12. nóvember 2025,Hafnað
48/2024,https://island.is/domar/s-c9067aa8-2487-462d-94d4-6ec0fdfe3d62,488/2022,https://island.is/domar/g-91e7a691-7d29-479b-81d3-ae27bfd2fba5,dóm,24. nóvember 2025,
2025-142,https://island.is/s/haestirettur/akvardanir/37e1ad05-60f4-4111-9a30-74135d979b9a,444/2025,https://island.is/domar/g-a0d6f991-86a0-46fd-aa26-5920059dce9a,ákvörðun,19. nóvember 2025,Hafnað
30/2025,https://island.is/domar/s-faca72d6-9205-494a-af40-dc79ecfd419d,669/2024,https://island.is/domar/g-057aceb9-52f7-409a-a7d3-366186ffc51f,dóm,26. nóvember 2025,
15/2025,https://island.is/domar/s-b0581eba-315b-4a5d-9197-26ddc58307d3,277/2024,https://island.is/domar/g-06b43111-5ac3-4b99-bc79-77ee20a27cb5,dóm,10. desember 2025,
24/2025,https://island.is/domar/s-d4740d9f-edf7-4884-a13b-9e6537314ce0,333/2023,https://island.is/domar/g-139497b4-3420-41bf-b8b2-8621d690c17c,dóm,10. desember 2025,
18/2025,https://island.is/domar/s-f9b38bec-b46c-417a-8c62-4a84d0872b66,785/2023,https://island.is/domar/g-7380e20c-02f0-45c1-baa1-200b2da939be,dóm,10. desember 2025,
2025-153,https://island.is/s/haestirettur/akvardanir/821d3c01-aab1-46f5-9d6d-2b4f62775b25,331/2024,https://island.is/domar/g-17c90efb-8204-4cfd-8a78-be5170724470,ákvörðun,5. desember 2025,Hafnað
16/2025,https://island.is/domar/s-6dc2feca-d1b8-4158-8b7a-920366a3116c,470/2023,https://island.is/domar/g-ad459693-1180-4abf-b1c9-3e4088f87bf2,dóm,17. desember 2025,
2025-168,https://island.is/s/haestirettur/akvardanir/d6177864-2d57-4c61-8eb5-cdabb36994ef,686/2024,https://island.is/domar/g-a9b365fb-d194-42e1-bbce-2bfc533bb104,ákvörðun,15. desember 2025,Hafnað
