appeal,supreme,url
37/2024,24/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=36e39581-d0c0-4b90-a004-26c94a55b178
847/2023,26/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=058d0145-3724-49fa-8214-39cba158baca
563/2023,9/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=28498aa8-52db-4acc-ad71-5e657dca91db
680/2023,22/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=e471b691-e38b-4c81-809d-bcc07e45cfb0
565/2023,11/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=91b9903d-02d3-45c2-8c99-de4587e6291e
564/2023,10/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=8883f5e3-9071-47ec-9251-efeae33f55da
1003/2024,23/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=f054d2fc-dbcb-429c-a017-f18fb26ab204
584/2023,163/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=82b08c43-aa00-4783-8ff3-1ce4aef9a373
738/2023,178/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=c609c65a-f0f9-4f35-bf3e-259a56e272b8
575/2023,168/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=2402887b-24d9-4e4a-898d-6143cf7a9c28
794/2023,175/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=ada1c957-bcd8-4e93-9077-ba8c435d5799
444/2023,159/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=854b2b5d-1275-495e-9dcc-dd6314554628
276/2023,173/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=1a7523fd-d6a0-4f50-9486-ed0aa44be3be
472/2023,160/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=9166812a-fe64-43e8-9a6a-22283508cb39
558/2023,169/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=268e9ccd-788b-45e5-bc62-73093751f2d3
663/2023,171/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=8d1ebc27-83bd-46ae-b8ef-91430fc4765f
913/2024,1/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=557976db-b33d-41d6-ae3a-a34e363680df
566/2023,12/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=f2afe19c-bed0-410a-8683-f7a1ad7a1281
737/2023,14/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=13b28e98-d981-4d29-ac90-9e7eba232edc
780/2023,17/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=f32060f2-345d-48c0-8af0-1cb1ffa7c169
470/2023,7/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=d232ae6e-22a0-4a52-b6ad-81f99d445f7c
277/2024,21/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=b2ffc07a-90b0-48f0-ae1a-38ed2bcad80d
845/2023,19/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=f808ab4e-e677-46ea-9da5-b3777b2e0ea1
772/2023,13/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=ecb4a226-aab4-47bc-b0e9-e2b12d4510f1
44/2024,15/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=c0aa6432-d96b-4673-92f5-eaa01be187a9
828/2023,8/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=4f2b4a06-3130-4c7d-9e35-4ffd252223c4
129/2024,16/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=bd988c09-13b9-4983-875a-a1ac16cff31b
638/2022,182/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=a8bc3f2f-966b-4057-97d0-0089a4fbaeb1
566/2022,183/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=d4708586-f1db-40df-afb9-8483ccfef76b
494/2023,170/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=d0905ef0-a5e9-437b-abc9-9ea95eea2918
554/2023,184/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=7a625eb8-dfc7-4f7c-bed8-a9e602e8cea6
397/2023,174/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=e6d196ff-e72e-462a-a150-abf0474ce010
713/2023,180/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=629adabc-0467-4f88-94f4-3fdeb7154506
594/2023,181/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=36672721-b933-43ff-951e-68a65a1a8a5a
273/2023,142/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=3828c98d-c27b-4d5f-9041-129b4c17d6bb
319/2023,132/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=4d6db5a0-3cda-414b-9419-294f16c31493
237/2023,129/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=29837251-c4ed-4033-a7cf-3b62f11540de
267/2024,137/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=cab85c06-d2de-4d8f-9f1c-590626ff1a2c
